"","Tumor_1","Tumor_2","Tumor_3","Tumor_4","Tumor_5","Tumor_6","Normal_1","Normal_2","Normal_3","Normal_4","Normal_5","Normal_6"
"GENE_03477",21,24,121,67,25,45,77,54,16,22,23,108
"GENE_03478",40,81,23,65,34,22,33,17,18,129,11,11
"GENE_03479",47,49,63,52,30,128,39,31,48,224,107,39
"GENE_03480",31,193,64,82,49,222,25,50,41,58,82,190
"GENE_03481",41,33,87,23,19,85,104,38,101,35,60,76
"GENE_03482",133,17,42,70,65,55,105,94,45,72,51,44
"GENE_03483",124,200,58,257,92,63,135,25,46,87,39,15
"GENE_03484",62,76,69,94,28,110,111,251,130,47,158,109
"GENE_03485",67,35,13,152,29,151,62,104,80,184,158,73
"GENE_03486",20,13,5,20,3,14,5,9,2,8,14,2
"GENE_03487",123,109,32,22,171,71,41,76,79,55,22,56
"GENE_03488",7,16,2,12,7,25,37,10,19,1,10,3
"GENE_03489",25,8,3,33,11,39,8,37,41,33,15,19
"GENE_03490",56,35,69,131,74,109,145,122,59,105,41,15
"GENE_03491",16,44,27,23,110,47,73,46,104,18,52,45
"GENE_03492",2,11,44,68,35,21,104,65,32,24,6,59
"GENE_03493",17,1,7,14,36,22,9,16,7,18,42,9
"GENE_03494",109,68,82,94,45,44,96,322,669,37,54,151
"GENE_03495",128,96,38,73,52,87,84,65,42,103,39,25
"GENE_03496",287,52,98,198,47,138,97,16,120,38,298,61
"GENE_03497",155,61,135,84,39,63,190,47,88,154,155,46
"GENE_03498",79,39,155,121,18,119,25,37,77,48,27,173
"GENE_03499",119,36,46,89,31,68,18,11,24,45,120,84
"GENE_03500",33,387,104,73,276,355,147,19,62,31,484,232
"GENE_03501",23,104,46,33,178,44,114,30,73,95,92,85
"GENE_03502",4,10,13,1,22,13,31,10,18,25,14,6
"GENE_03503",91,50,81,16,42,38,89,35,42,22,51,4
"GENE_03504",317,125,98,86,206,478,195,336,1,95,124,168
"GENE_03505",20,12,21,53,33,7,8,10,45,78,13,63
"GENE_03506",48,26,36,75,55,141,82,148,144,15,117,20
"GENE_03507",34,26,147,18,69,140,6,50,183,44,23,88
"GENE_03508",91,174,204,197,102,39,204,168,59,238,36,106
"GENE_03509",70,19,96,33,131,16,19,22,57,14,55,17
"GENE_03510",22,34,51,67,11,48,55,10,3,55,21,8
"GENE_03511",37,12,96,21,22,31,48,160,23,43,36,58
"GENE_03512",91,89,148,34,116,36,265,46,93,64,107,372
"GENE_03513",84,39,22,52,137,44,79,58,47,36,63,27
"GENE_03514",165,74,28,11,49,320,79,168,82,230,137,181
"GENE_03515",86,218,69,275,251,72,97,5,8,74,238,35
"GENE_03516",56,227,153,60,266,170,58,173,320,252,610,208
"GENE_03517",265,332,111,126,179,482,207,141,181,75,33,164
"GENE_03518",25,17,41,33,24,12,30,26,51,28,15,2
"GENE_03519",250,56,13,57,168,184,43,10,529,86,51,95
"GENE_03520",94,213,94,130,93,44,7,71,159,189,81,24
"GENE_03521",68,50,18,152,119,139,62,75,133,64,148,50
"GENE_03522",3,10,13,1,9,13,9,16,2,5,1,9
"GENE_03523",3,32,74,333,48,25,92,142,76,253,14,17
"GENE_03524",27,73,147,123,106,48,26,23,60,217,207,107
"GENE_03525",55,16,12,5,22,78,40,26,360,60,71,81
"GENE_03526",43,214,14,57,36,251,147,159,61,53,141,110
"GENE_03527",144,137,54,174,11,81,95,99,81,154,110,196
"GENE_03528",99,36,66,187,253,27,77,72,344,190,64,147
"GENE_03529",33,249,91,17,150,82,228,212,123,267,75,29
"GENE_03530",32,109,43,30,48,41,53,101,30,169,74,50
"GENE_03531",437,587,449,310,312,84,438,188,106,454,242,278
"GENE_03532",8,37,37,136,45,360,3,51,88,194,163,137
"GENE_03533",86,43,70,71,97,69,39,64,143,114,5,28
"GENE_03534",20,25,45,66,7,56,5,27,31,73,37,44
"GENE_03535",281,435,303,98,142,180,155,271,38,139,45,174
"GENE_03536",111,13,62,60,123,198,98,84,25,162,65,39
"GENE_03537",84,30,51,103,94,53,67,38,163,76,8,189
"GENE_03538",70,47,98,133,237,16,231,280,100,104,54,176
"GENE_03539",569,185,112,143,113,124,147,652,465,393,332,206
"GENE_03540",18,10,8,21,3,8,15,6,0,1,13,6
"GENE_03541",125,68,302,82,123,77,472,191,182,344,35,109
"GENE_03542",36,42,132,77,73,25,45,123,47,56,13,41
"GENE_03543",18,100,30,26,25,26,14,40,49,26,19,68
"GENE_03544",57,96,66,112,107,14,48,127,96,145,95,60
"GENE_03545",92,129,21,89,63,124,127,118,95,47,72,43
"GENE_03546",61,92,86,142,33,80,44,61,25,93,38,23
"GENE_03547",56,51,14,48,8,73,81,16,64,20,5,26
"GENE_03548",6,16,26,29,14,16,27,6,31,47,7,1
"GENE_03549",67,127,82,76,80,65,32,107,49,64,49,95
"GENE_03550",139,74,4,188,99,44,143,122,103,155,129,46
"GENE_03551",31,21,12,63,39,19,21,11,19,37,27,45
"GENE_03552",187,60,56,447,268,104,114,111,145,129,387,330
"GENE_03553",213,82,134,356,232,213,246,116,225,107,311,84
"GENE_03554",85,104,119,90,47,25,113,17,202,207,56,132
"GENE_03555",28,41,37,48,30,35,23,29,50,20,90,23
"GENE_03556",48,19,26,24,14,5,5,47,40,45,12,31
"GENE_03557",0,2,8,6,1,5,4,0,12,0,8,10
"GENE_03558",58,155,102,119,126,31,41,71,81,8,26,98
"GENE_03559",37,16,19,10,2,58,8,25,7,49,7,33
"GENE_03560",15,72,173,37,26,87,62,28,171,14,11,115
"GENE_03561",118,215,22,49,55,61,116,105,64,61,34,21
"GENE_03562",243,257,44,206,56,30,386,63,46,111,69,133
"GENE_03563",66,26,108,86,67,45,38,15,15,70,87,48
"GENE_03564",109,56,382,117,65,100,36,175,52,56,154,261
"GENE_03565",52,231,232,347,188,417,76,295,91,43,325,254
"GENE_03566",67,221,54,463,37,17,108,220,97,115,250,74
"GENE_03567",135,147,18,109,57,40,53,49,81,95,19,39
"GENE_03568",14,7,15,8,19,17,1,19,22,38,24,19
"GENE_03569",24,4,8,32,49,33,18,69,13,38,46,39
"GENE_03570",171,112,338,305,592,256,524,110,82,304,195,308
"GENE_03571",156,170,36,51,95,75,192,72,104,289,16,165
"GENE_03572",65,91,136,57,22,7,19,181,99,65,30,28
"GENE_03573",23,80,94,544,139,252,67,272,44,73,235,119
"GENE_03574",71,112,48,47,43,34,64,25,50,114,214,68
"GENE_03575",118,161,90,119,14,176,20,60,59,116,28,37
"GENE_03576",118,27,19,72,110,41,116,67,46,30,26,88
"GENE_03577",60,35,152,13,60,11,103,62,96,24,122,14
"GENE_03578",120,252,54,172,304,152,4,347,67,84,166,332
"GENE_03579",13,207,21,46,47,63,60,27,49,18,169,56
"GENE_03580",192,1,271,125,91,213,180,22,235,213,314,52
"GENE_03581",8,62,86,117,38,6,29,45,120,12,190,72
"GENE_03582",56,93,369,52,82,208,95,116,121,336,31,73
"GENE_03583",71,7,190,315,107,182,94,179,50,91,54,91
"GENE_03584",135,10,101,120,83,79,65,213,99,102,355,95
"GENE_03585",30,76,18,61,51,11,18,47,33,27,29,37
"GENE_03586",95,44,28,62,69,92,36,261,131,27,112,47
"GENE_03587",27,178,25,37,128,43,34,0,58,46,117,110
"GENE_03588",223,95,63,138,215,34,26,53,99,197,142,34
"GENE_03589",49,79,72,16,54,50,98,104,9,4,14,88
"GENE_03590",25,67,203,117,60,35,116,154,19,115,71,299
"GENE_03591",185,144,30,108,305,278,255,108,169,105,93,148
"GENE_03592",6,3,0,19,0,15,5,4,4,12,14,4
"GENE_03593",21,118,73,22,101,109,46,16,79,25,57,52
"GENE_03594",26,148,32,73,144,108,9,123,69,324,201,184
"GENE_03595",233,553,158,345,48,445,463,695,221,72,185,229
"GENE_03596",80,30,29,101,63,60,110,67,41,83,204,29
"GENE_03597",23,101,17,58,74,202,47,112,75,35,70,97
"GENE_03598",15,37,32,6,28,28,12,43,12,27,24,6
"GENE_03599",70,25,43,38,59,51,47,71,22,50,30,17
"GENE_03600",50,59,149,187,76,104,124,112,9,74,111,118
"GENE_03601",157,329,30,167,26,80,180,33,55,45,449,44
"GENE_03602",9,28,8,27,19,24,11,12,21,9,13,6
"GENE_03603",12,152,15,31,81,34,30,42,22,53,97,23
"GENE_03604",59,108,86,59,54,53,139,41,134,50,127,162
"GENE_03605",7,0,7,0,2,4,0,2,0,2,4,0
"GENE_03606",136,418,106,54,91,99,82,243,244,44,326,106
"GENE_03607",77,189,290,109,168,70,265,162,95,154,98,193
"GENE_03608",40,31,33,49,25,76,64,35,48,34,15,19
"GENE_03609",86,49,6,25,58,54,80,22,8,79,132,89
"GENE_03610",223,51,89,227,200,76,336,141,147,136,385,68
"GENE_03611",82,51,22,52,10,91,17,56,44,29,14,10
"GENE_03612",11,109,13,42,29,28,25,49,41,169,144,38
"GENE_03613",661,158,135,147,120,270,25,59,107,211,194,141
"GENE_03614",23,11,27,50,9,25,7,15,11,7,10,32
"GENE_03615",62,77,54,15,117,31,91,208,172,38,9,88
"GENE_03616",48,98,176,196,117,40,248,117,108,132,71,112
"GENE_03617",23,54,34,57,20,20,20,59,69,64,167,23
"GENE_03618",67,59,36,48,5,4,19,22,38,94,53,24
"GENE_03619",103,184,167,274,219,45,139,118,172,93,35,19
"GENE_03620",244,126,242,154,179,181,71,121,235,112,115,256
"GENE_03621",244,253,360,212,120,111,29,87,207,81,105,261
"GENE_03622",19,15,88,59,150,45,80,17,305,84,80,86
"GENE_03623",123,215,77,63,48,153,174,353,160,217,50,89
"GENE_03624",60,95,55,124,93,260,220,169,38,188,102,21
"GENE_03625",27,23,6,9,14,7,5,9,12,11,9,10
"GENE_03626",11,25,67,63,25,38,31,53,163,50,34,23
"GENE_03627",361,442,548,358,80,223,221,433,184,141,202,148
"GENE_03628",93,75,30,136,142,53,6,16,70,84,7,37
"GENE_03629",180,60,208,81,282,251,400,46,194,160,81,291
"GENE_03630",35,160,279,240,85,230,100,119,94,200,110,130
"GENE_03631",51,156,38,147,34,122,29,83,32,13,66,66
"GENE_03632",7,29,16,33,12,52,140,106,45,15,14,32
"GENE_03633",99,54,75,55,94,256,32,110,156,223,291,224
"GENE_03634",65,47,67,144,14,99,37,50,192,38,111,8
"GENE_03635",68,61,35,95,33,6,60,43,55,41,106,94
"GENE_03636",463,43,169,108,175,413,12,124,124,93,80,114
"GENE_03637",66,31,135,56,61,77,12,62,84,39,98,218
"GENE_03638",101,68,90,38,31,84,46,50,77,9,85,28
"GENE_03639",71,6,8,50,11,87,9,31,34,47,26,14
"GENE_03640",35,84,135,28,117,61,16,74,87,36,38,43
"GENE_03641",0,1,4,4,0,11,8,10,7,3,3,10
"GENE_03642",98,158,31,127,40,380,31,313,456,293,125,214
"GENE_03643",125,122,126,149,237,62,151,248,41,500,97,169
"GENE_03644",72,231,81,87,52,57,15,117,35,109,104,150
"GENE_03645",64,345,162,118,124,712,63,17,293,367,364,100
"GENE_03646",194,205,77,324,178,117,10,24,217,83,24,100
"GENE_03647",58,88,62,54,20,48,20,2,10,69,82,60
"GENE_03648",249,70,235,32,274,80,210,220,61,51,239,250
"GENE_03649",90,53,17,9,30,78,49,21,113,50,17,67
"GENE_03650",95,12,135,40,102,66,104,55,28,169,79,69
"GENE_03651",4,11,6,6,30,11,8,9,13,63,38,6
"GENE_03652",93,109,42,86,79,85,3,37,40,138,27,297
"GENE_03653",47,135,112,49,64,73,81,140,178,126,58,271
"GENE_03654",34,31,31,62,54,125,14,55,27,25,54,92
"GENE_03655",79,42,150,30,71,21,70,92,94,32,146,86
"GENE_03656",254,76,127,16,129,30,115,10,57,177,84,202
"GENE_03657",166,35,101,33,95,41,90,94,64,65,129,283
"GENE_03658",3,10,4,11,11,4,7,3,1,5,3,8
"GENE_03659",73,88,43,46,72,45,12,159,45,8,159,100
"GENE_03660",63,48,195,132,152,56,169,138,28,75,11,92
"GENE_03661",125,38,145,164,33,69,69,225,75,134,79,44
"GENE_03662",11,27,122,52,91,17,36,60,35,2,36,10
"GENE_03663",58,42,88,116,118,109,62,54,170,36,172,39
"GENE_03664",133,40,30,22,18,33,45,69,100,18,95,14
"GENE_03665",26,59,81,36,107,107,152,14,22,46,8,24
"GENE_03666",24,227,256,191,49,288,333,58,164,397,84,83
"GENE_03667",110,160,157,51,259,82,130,117,364,206,376,258
"GENE_03668",16,38,50,75,91,38,87,29,38,15,16,27
"GENE_03669",10,2,35,5,19,19,13,43,7,12,27,10
"GENE_03670",89,26,109,71,47,6,112,84,47,46,3,132
"GENE_03671",30,108,67,167,21,460,52,262,385,150,22,201
"GENE_03672",136,76,53,150,46,58,84,169,27,24,101,31
"GENE_03673",31,20,13,23,14,14,8,55,13,43,23,4
"GENE_03674",12,185,432,73,10,640,204,150,98,233,138,351
"GENE_03675",41,42,204,57,33,176,205,78,242,233,17,151
"GENE_03676",29,43,240,71,42,106,144,203,25,120,266,113
"GENE_03677",41,252,144,207,269,56,288,58,28,164,52,82
"GENE_03678",26,1,26,69,25,17,21,7,37,2,104,25
"GENE_03679",19,12,14,42,47,33,8,16,29,15,46,29
"GENE_03680",60,146,65,39,33,29,205,79,76,111,88,113
"GENE_03681",137,397,178,41,176,17,48,241,47,83,249,31
"GENE_03682",46,11,12,17,44,9,26,7,19,30,21,18
"GENE_03683",44,51,31,34,142,98,25,29,28,8,190,51
"GENE_03684",102,159,8,349,96,88,126,307,107,121,349,51
"GENE_03685",31,46,126,28,9,69,42,27,115,14,17,40
"GENE_03686",13,22,70,68,88,21,143,12,44,48,18,19
"GENE_03687",4,30,27,22,74,9,63,28,36,35,31,22
"GENE_03688",28,27,38,28,76,33,32,12,6,0,64,18
"GENE_03689",96,123,179,106,97,8,93,52,128,25,75,196
"GENE_03690",202,25,83,51,41,97,517,223,83,319,226,65
"GENE_03691",38,285,247,37,83,334,191,83,85,196,93,59
"GENE_03692",119,792,301,127,203,630,21,453,104,798,144,178
"GENE_03693",13,44,40,18,39,3,18,23,31,31,15,29
"GENE_03694",1,0,4,4,2,0,4,2,0,4,6,4
"GENE_03695",21,41,19,47,57,44,42,27,24,77,50,72
"GENE_03696",10,9,7,3,2,14,6,3,4,6,4,20
"GENE_03697",68,20,168,413,257,80,216,280,117,173,376,280
"GENE_03698",17,8,29,60,62,6,23,4,29,19,49,11
"GENE_03699",57,5,34,26,48,4,39,14,24,23,51,61
"GENE_03700",23,31,77,71,80,22,39,35,88,27,78,20
"GENE_03701",300,509,229,143,459,43,145,28,250,271,231,284
"GENE_03702",3,4,19,2,0,16,10,16,12,6,14,4
"GENE_03703",62,370,120,54,41,264,133,206,370,289,167,48
"GENE_03704",29,46,28,11,5,29,21,13,58,32,10,30
"GENE_03705",76,48,114,86,32,13,19,41,32,58,114,20
"GENE_03706",61,10,37,54,31,8,60,37,48,54,31,52
"GENE_03707",15,2,40,21,17,42,77,14,28,104,41,22
"GENE_03708",18,19,54,43,7,49,25,28,29,90,8,47
"GENE_03709",78,54,51,14,70,73,42,12,146,57,61,58
"GENE_03710",166,44,98,136,79,150,29,263,92,181,72,342
"GENE_03711",25,16,31,86,5,68,10,6,48,19,25,118
"GENE_03712",22,56,40,22,165,51,53,28,34,17,25,51
"GENE_03713",57,111,22,14,83,86,66,82,90,27,40,11
"GENE_03714",1,51,37,6,9,4,7,61,102,48,21,67
"GENE_03715",41,85,98,89,101,60,171,221,64,99,120,109
"GENE_03716",65,33,12,74,236,119,21,22,62,28,14,48
"GENE_03717",33,120,106,68,59,191,86,115,136,10,35,47
"GENE_03718",175,36,552,14,35,421,129,118,59,349,68,61
"GENE_03719",67,21,64,79,23,35,31,15,2,44,107,83
"GENE_03720",130,35,81,93,78,225,153,106,83,176,12,270
"GENE_03721",62,27,48,19,66,41,93,35,7,23,5,12
"GENE_03722",67,69,46,25,54,174,107,16,55,33,89,46
"GENE_03723",19,62,29,11,12,30,87,6,25,20,42,6
"GENE_03724",6,7,7,5,5,7,5,12,8,14,6,9
"GENE_03725",21,56,13,12,35,28,135,17,33,3,15,82
"GENE_03726",14,6,6,17,19,7,14,68,4,7,0,26
"GENE_03727",278,175,421,65,189,326,203,416,318,187,83,303
"GENE_03728",25,235,337,95,53,88,176,43,41,84,44,58
"GENE_03729",339,207,736,137,191,234,79,67,251,38,301,180
"GENE_03730",179,181,45,46,81,41,50,15,35,24,53,37
"GENE_03731",75,90,96,181,54,150,30,101,137,41,99,113
"GENE_03732",35,26,0,68,15,13,10,20,50,12,68,16
"GENE_03733",18,14,53,4,7,22,3,7,14,18,40,16
"GENE_03734",67,68,12,43,48,62,167,12,70,139,49,17
"GENE_03735",338,277,597,172,262,258,170,149,591,245,406,351
"GENE_03736",217,83,193,247,671,70,137,150,287,109,139,154
"GENE_03737",6,10,20,14,18,12,7,8,17,9,6,17
"GENE_03738",97,27,46,4,40,79,15,53,228,157,22,150
"GENE_03739",81,97,57,39,19,52,50,12,24,30,63,34
"GENE_03740",257,300,85,105,107,106,173,236,143,31,285,312
"GENE_03741",26,40,38,102,5,57,114,7,28,8,25,67
"GENE_03742",58,196,177,91,42,67,70,33,64,74,86,236
"GENE_03743",446,648,407,675,703,584,96,439,67,264,316,266
"GENE_03744",108,53,1,37,55,68,53,41,40,39,19,48
"GENE_03745",75,47,21,14,211,157,104,115,23,288,2,97
"GENE_03746",9,36,29,12,5,17,19,6,12,4,12,11
"GENE_03747",439,295,65,128,496,150,437,139,62,466,85,353
"GENE_03748",69,10,81,186,42,57,58,80,73,71,32,22
"GENE_03749",133,13,10,100,27,91,146,134,36,67,49,15
"GENE_03750",8,33,27,16,13,6,12,16,16,2,45,27
"GENE_03751",668,138,114,420,288,235,268,174,82,312,281,355
"GENE_03752",45,33,18,17,79,2,22,20,9,20,38,25
"GENE_03753",124,115,91,142,152,88,157,68,61,75,26,87
"GENE_03754",60,29,33,170,54,156,86,91,33,19,27,46
"GENE_03755",11,5,15,8,19,59,58,70,51,25,21,76
"GENE_03756",4,6,4,3,4,3,3,3,4,11,5,4
"GENE_03757",137,140,44,129,265,45,364,67,119,15,116,276
"GENE_03758",49,113,133,140,359,261,165,61,168,291,297,171
"GENE_03759",57,67,63,118,7,119,69,24,37,9,18,77
"GENE_03760",300,67,49,88,142,133,119,126,35,194,128,35
"GENE_03761",25,57,179,14,56,171,78,99,37,91,174,48
"GENE_03762",22,8,47,121,28,14,14,20,22,14,22,56
"GENE_03763",248,95,14,115,162,235,127,43,65,92,146,286
"GENE_03764",57,134,262,144,151,19,203,44,51,20,110,52
"GENE_03765",27,68,138,51,40,21,108,47,273,71,80,63
"GENE_03766",128,370,394,291,244,346,210,456,192,442,150,274
"GENE_03767",17,110,69,6,50,36,31,15,48,30,47,11
"GENE_03768",233,461,15,152,117,105,42,248,8,215,293,187
"GENE_03769",31,37,17,7,48,23,34,35,59,9,55,13
"GENE_03770",251,756,760,610,102,324,153,117,204,549,43,168
"GENE_03771",86,22,39,162,167,228,137,122,46,217,112,147
"GENE_03772",70,87,3,37,90,127,49,37,67,66,60,33
"GENE_03773",20,6,6,28,12,11,17,15,23,17,17,5
"GENE_03774",110,63,14,105,23,27,46,20,18,193,18,165
"GENE_03775",21,104,79,153,118,45,38,2,168,45,89,30
"GENE_03776",254,196,279,267,13,343,83,70,232,162,517,651
"GENE_03777",109,268,278,446,193,213,93,169,50,49,385,118
"GENE_03778",93,87,78,291,313,75,269,118,181,84,194,131
"GENE_03779",62,29,7,24,57,51,27,36,89,4,10,89
"GENE_03780",168,216,129,41,135,55,117,50,96,340,122,297
"GENE_03781",57,7,7,2,27,16,16,3,3,11,22,7
"GENE_03782",77,448,253,443,63,99,359,336,197,243,312,223
"GENE_03783",17,86,242,44,53,191,101,41,246,43,82,97
"GENE_03784",83,121,227,82,121,153,114,158,372,138,99,254
"GENE_03785",23,33,71,15,55,7,65,73,37,70,4,29
"GENE_03786",27,20,52,14,62,36,156,10,21,13,49,52
"GENE_03787",87,10,219,70,103,116,214,195,83,292,178,42
"GENE_03788",275,160,102,284,158,66,61,326,166,68,153,118
"GENE_03789",163,79,376,37,261,151,298,183,222,539,139,36
"GENE_03790",96,17,165,43,36,8,98,131,128,94,71,51
"GENE_03791",222,253,188,255,182,59,168,75,61,175,76,168
"GENE_03792",30,17,32,17,7,9,27,42,11,17,15,18
"GENE_03793",92,91,84,134,24,75,67,82,101,21,50,58
"GENE_03794",18,79,233,445,56,66,209,178,29,13,80,48
"GENE_03795",6,15,24,37,41,34,20,20,26,47,28,25
"GENE_03796",26,13,18,14,20,4,28,82,59,9,29,10
"GENE_03797",196,43,95,44,65,110,20,46,116,121,169,201
"GENE_03798",47,42,10,31,36,29,44,10,94,82,39,34
"GENE_03799",407,462,113,293,504,350,122,266,453,151,294,406
"GENE_03800",261,13,23,46,60,92,115,126,119,82,51,164
"GENE_03801",146,156,118,58,57,62,145,57,105,92,150,85
"GENE_03802",122,47,217,42,27,14,359,135,54,87,208,202
"GENE_03803",9,188,382,18,46,207,384,44,439,197,128,16
"GENE_03804",263,103,135,59,112,128,136,374,152,348,298,442
"GENE_03805",39,55,40,79,46,80,59,51,11,166,91,98
"GENE_03806",18,14,4,23,11,13,16,46,14,38,14,39
"GENE_03807",51,66,45,46,22,45,64,64,11,24,20,106
"GENE_03808",22,44,31,52,27,19,20,35,20,27,54,12
"GENE_03809",239,222,460,706,217,66,836,288,206,422,153,221
"GENE_03810",8,1,16,53,29,60,60,33,22,12,7,6
"GENE_03811",257,56,279,155,229,49,545,265,310,357,204,111
"GENE_03812",3,9,55,5,22,21,30,36,6,29,22,15
"GENE_03813",54,30,25,91,131,89,79,46,49,40,33,52
"GENE_03814",49,129,25,265,101,47,233,41,73,51,79,141
"GENE_03815",7,66,125,98,41,60,7,77,46,58,16,106
"GENE_03816",178,75,120,141,124,230,78,153,61,85,43,211
"GENE_03817",45,55,284,66,49,21,206,235,204,73,12,23
"GENE_03818",56,25,52,70,26,75,17,61,54,37,52,50
"GENE_03819",73,12,154,59,64,34,129,168,106,57,90,60
"GENE_03820",65,11,81,152,54,10,134,20,75,36,48,81
"GENE_03821",82,104,21,62,100,207,103,67,64,53,182,85
"GENE_03822",17,24,31,47,6,26,15,52,5,59,7,42
"GENE_03823",65,114,93,98,60,14,64,25,0,190,15,28
"GENE_03824",12,11,5,84,18,63,4,29,15,44,26,38
"GENE_03825",45,28,19,12,27,67,28,40,14,6,38,26
"GENE_03826",47,27,12,20,59,31,87,9,66,45,44,14
"GENE_03827",17,36,50,44,18,39,40,23,5,41,17,48
"GENE_03828",148,25,41,125,70,23,48,28,58,4,63,60
"GENE_03829",36,44,15,34,24,15,40,3,105,78,34,154
"GENE_03830",85,112,284,320,125,149,118,262,178,264,311,16
"GENE_03831",128,103,141,52,102,111,52,102,59,245,153,55
"GENE_03832",75,38,40,51,88,8,10,29,33,25,60,18
"GENE_03833",154,24,120,21,70,101,65,44,82,25,27,120
"GENE_03834",33,40,2,8,25,9,66,114,30,52,46,15
"GENE_03835",286,43,19,34,100,53,13,264,15,93,196,88
"GENE_03836",4,9,6,10,2,14,7,8,2,5,6,2
"GENE_03837",521,293,151,359,575,432,384,868,82,277,533,446
"GENE_03838",131,125,33,67,131,139,443,111,83,99,162,85
"GENE_03839",79,25,13,104,73,59,33,23,45,37,63,142
"GENE_03840",185,281,252,701,368,90,355,486,687,36,463,351
"GENE_03841",106,75,45,12,32,24,51,20,158,69,51,72
"GENE_03842",114,99,24,112,61,20,41,14,24,99,184,13
"GENE_03843",180,78,51,239,187,96,72,102,118,63,170,178
"GENE_03844",271,119,340,186,39,259,208,228,232,166,566,98
"GENE_03845",134,231,232,325,51,22,128,50,23,76,43,112
"GENE_03846",10,28,24,26,94,39,11,76,49,72,118,111
"GENE_03847",24,69,79,66,81,56,90,54,15,62,26,38
"GENE_03848",686,351,362,124,146,622,363,336,7,165,801,85
"GENE_03849",144,23,50,98,46,55,29,129,26,86,19,16
"GENE_03850",86,67,44,35,60,23,30,68,29,89,26,82
"GENE_03851",67,35,114,36,38,84,88,33,3,13,35,33
"GENE_03852",38,107,120,84,109,126,15,52,123,76,104,61
"GENE_03853",17,86,88,54,71,75,45,26,90,82,97,58
"GENE_03854",16,153,233,204,52,56,115,143,254,244,54,52
"GENE_03855",3,129,217,283,201,347,217,81,262,248,160,378
"GENE_03856",59,26,41,223,92,226,76,48,34,2,103,72
"GENE_03857",163,62,160,44,116,173,370,240,291,180,31,31
"GENE_03858",85,104,102,58,11,70,45,59,39,105,28,147
"GENE_03859",5,23,83,169,81,114,37,64,80,119,107,77
"GENE_03860",52,291,177,326,81,150,28,142,57,97,105,14
"GENE_03861",136,113,237,147,257,208,123,117,186,118,70,47
"GENE_03862",20,24,157,179,162,279,181,139,15,348,197,276
"GENE_03863",11,13,45,56,40,69,39,78,51,68,74,31
"GENE_03864",65,38,12,44,48,7,20,17,21,61,58,26
"GENE_03865",31,102,51,139,52,55,94,162,13,60,93,32
"GENE_03866",28,90,136,81,137,22,101,61,57,208,187,26
"GENE_03867",85,106,77,85,265,223,123,515,95,172,123,167
"GENE_03868",12,14,23,31,16,8,2,23,42,10,24,26
"GENE_03869",378,161,249,593,356,280,79,200,248,120,127,409
"GENE_03870",36,154,40,48,53,89,29,157,32,117,71,102
"GENE_03871",37,22,36,53,81,41,31,146,25,31,34,65
"GENE_03872",151,150,106,86,38,111,115,202,75,28,165,231
"GENE_03873",39,17,6,52,21,5,43,26,66,25,38,13
"GENE_03874",15,58,49,7,32,8,28,42,22,13,24,47
"GENE_03875",276,548,252,32,523,68,174,196,104,125,381,281
"GENE_03876",52,20,23,45,6,106,49,8,36,3,71,17
"GENE_03877",225,19,157,147,134,53,267,29,97,131,261,273
"GENE_03878",20,9,25,38,32,22,24,98,34,44,28,31
"GENE_03879",67,69,99,171,57,14,66,23,191,242,59,149
"GENE_03880",301,50,307,132,670,687,350,151,567,601,473,526
"GENE_03881",67,53,39,32,122,111,82,33,22,27,41,66
"GENE_03882",149,87,70,162,63,35,41,26,135,70,346,107
"GENE_03883",98,204,93,52,52,48,126,52,138,42,91,205
"GENE_03884",24,22,51,46,16,92,63,85,6,97,273,111
"GENE_03885",67,118,76,117,50,35,102,8,21,92,17,71
"GENE_03886",41,0,43,86,26,101,38,119,47,19,111,26
"GENE_03887",19,16,30,57,43,15,10,65,60,61,32,94
"GENE_03888",123,234,137,194,62,294,52,410,259,133,564,224
"GENE_03889",541,29,50,50,286,228,36,402,41,223,205,183
"GENE_03890",80,50,269,33,84,165,65,204,372,201,147,284
"GENE_03891",305,196,151,111,229,459,192,140,27,254,271,159
"GENE_03892",91,37,44,24,64,46,8,96,18,172,16,36
"GENE_03893",115,111,209,291,30,135,107,5,158,112,73,323
"GENE_03894",71,11,9,17,20,38,54,5,62,18,51,213
"GENE_03895",44,175,90,71,104,159,81,16,104,130,157,60
"GENE_03896",257,83,87,97,117,95,47,88,533,124,89,99
"GENE_03897",168,732,306,459,115,498,228,51,339,174,239,354
"GENE_03898",57,21,19,7,22,58,20,118,3,62,29,16
"GENE_03899",92,76,26,35,81,68,25,51,43,66,18,43
"GENE_03900",87,71,72,526,354,207,212,139,96,170,299,189
"GENE_03901",20,32,121,96,10,8,72,105,1,4,22,108
"GENE_03902",44,107,47,30,84,83,99,65,18,35,75,42
"GENE_03903",34,74,31,9,118,35,64,44,4,30,41,37
"GENE_03904",71,93,24,78,354,105,93,11,50,153,57,128
"GENE_03905",86,95,2,27,54,46,44,6,1,68,23,15
"GENE_03906",87,43,89,19,115,117,1,73,33,214,56,15
"GENE_03907",295,230,558,104,31,792,188,458,54,258,262,276
"GENE_03908",39,81,88,64,14,2,73,117,31,16,25,15
"GENE_03909",38,35,12,61,8,60,39,20,22,13,16,51
"GENE_03910",79,62,106,21,37,58,17,107,45,131,24,55
